strategy,wins,losses,draws
"[[1.0, 1.0, 13.0], [21.0, 21.0, 21.0], [21.0, 1.0, 0.0]]",3587,1119,642
"[[21.0, 21.0, 21.0], [21.0, 1.0, 1.0], [1.0, 12.0, 1.0]]",3587,1252,509
"[[16.0, 20.0, 20.0], [1.0, 1.0, 20.0], [1.0, 1.0, 20.0]]",3584,1249,515
"[[12.0, 20.0, 3.0], [12.0, 21.0, 2.0], [11.0, 17.0, 2.0]]",3582,1104,662
"[[15.0, 20.0, 20.0], [21.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3581,1145,622
"[[0.0, 21.0, 0.0], [21.0, 0.0, 21.0], [21.0, 16.0, 0.0]]",3581,1236,531
"[[1.0, 21.0, 12.0], [1.0, 21.0, 1.0], [21.0, 1.0, 21.0]]",3577,1139,632
"[[21.0, 20.0, 20.0], [20.0, 1.0, 1.0], [15.0, 1.0, 1.0]]",3576,1227,545
"[[1.0, 21.0, 1.0], [0.0, 1.0, 21.0], [13.0, 21.0, 21.0]]",3576,1065,707
"[[21.0, 1.0, 21.0], [1.0, 21.0, 1.0], [21.0, 1.0, 12.0]]",3575,1198,575
"[[21.0, 1.0, 21.0], [1.0, 21.0, 1.0], [21.0, 1.0, 12.0]]",3575,1198,575
"[[21.0, 1.0, 21.0], [1.0, 21.0, 1.0], [21.0, 1.0, 12.0]]",3575,1198,575
"[[21.0, 1.0, 21.0], [1.0, 21.0, 1.0], [21.0, 1.0, 12.0]]",3575,1198,575
"[[20.0, 20.0, 16.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3573,1234,541
"[[1.0, 20.0, 1.0], [20.0, 20.0, 20.0], [1.0, 16.0, 1.0]]",3572,1159,617
"[[1.0, 12.0, 11.0], [20.0, 21.0, 12.0], [1.0, 21.0, 1.0]]",3572,1270,506
"[[2.0, 2.0, 22.0], [22.0, 22.0, 15.0], [5.0, 5.0, 5.0]]",3572,1493,283
"[[1.0, 20.0, 1.0], [20.0, 20.0, 20.0], [1.0, 16.0, 1.0]]",3572,1159,617
"[[1.0, 20.0, 1.0], [20.0, 20.0, 20.0], [1.0, 16.0, 1.0]]",3572,1159,617
"[[2.0, 20.0, 2.0], [17.0, 20.0, 17.0], [1.0, 20.0, 1.0]]",3572,1055,721
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 20.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3567,1149,632
"[[15.0, 21.0, 21.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3566,1158,624
"[[2.0, 19.0, 3.0], [20.0, 21.0, 12.0], [0.0, 21.0, 2.0]]",3566,1030,752
"[[15.0, 21.0, 21.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3566,1158,624
"[[16.0, 3.0, 3.0], [3.0, 20.0, 16.0], [16.0, 20.0, 3.0]]",3565,919,864
"[[5.0, 5.0, 21.0], [12.0, 21.0, 5.0], [5.0, 21.0, 5.0]]",3564,1468,316
"[[2.0, 2.0, 2.0], [2.0, 21.0, 21.0], [21.0, 21.0, 8.0]]",3562,1580,206
"[[2.0, 2.0, 2.0], [2.0, 21.0, 21.0], [21.0, 21.0, 8.0]]",3562,1580,206
"[[21.0, 1.0, 21.0], [1.0, 1.0, 1.0], [21.0, 12.0, 21.0]]",3561,1303,484
"[[12.0, 1.0, 21.0], [1.0, 21.0, 1.0], [21.0, 1.0, 21.0]]",3560,1233,555
"[[1.0, 8.0, 15.0], [15.0, 25.0, 15.0], [15.0, 5.0, 1.0]]",3560,1224,564
"[[0.0, 0.0, 21.0], [0.0, 0.0, 21.0], [16.0, 21.0, 21.0]]",3558,1337,453
"[[1.0, 20.0, 1.0], [16.0, 1.0, 20.0], [20.0, 20.0, 1.0]]",3557,1092,699
"[[16.0, 1.0, 1.0], [20.0, 20.0, 1.0], [20.0, 20.0, 1.0]]",3557,1210,581
"[[15.0, 21.0, 20.0], [1.0, 20.0, 20.0], [1.0, 1.0, 1.0]]",3556,1199,593
"[[21.0, 21.0, 21.0], [1.0, 21.0, 1.0], [1.0, 12.0, 1.0]]",3554,1227,567
"[[2.0, 16.0, 12.0], [15.0, 16.0, 23.0], [2.0, 12.0, 2.0]]",3553,1397,398
"[[21.0, 21.0, 21.0], [1.0, 1.0, 21.0], [1.0, 1.0, 12.0]]",3552,1194,602
"[[21.0, 21.0, 21.0], [1.0, 1.0, 21.0], [1.0, 1.0, 12.0]]",3552,1194,602
"[[21.0, 21.0, 21.0], [1.0, 1.0, 21.0], [1.0, 1.0, 12.0]]",3552,1194,602
"[[2.0, 2.0, 2.0], [2.0, 20.0, 20.0], [17.0, 18.0, 17.0]]",3551,976,821
"[[1.0, 1.0, 20.0], [1.0, 20.0, 16.0], [1.0, 20.0, 20.0]]",3550,1153,645
"[[1.0, 1.0, 1.0], [1.0, 20.0, 20.0], [20.0, 20.0, 16.0]]",3550,1146,652
"[[2.0, 20.0, 13.0], [20.0, 21.0, 0.0], [2.0, 20.0, 2.0]]",3550,1075,723
"[[1.0, 1.0, 1.0], [1.0, 20.0, 20.0], [20.0, 20.0, 16.0]]",3550,1146,652
"[[12.0, 21.0, 1.0], [21.0, 1.0, 21.0], [1.0, 21.0, 1.0]]",3549,1233,566
"[[2.0, 2.0, 2.0], [2.0, 20.0, 20.0], [17.0, 17.0, 18.0]]",3548,970,830
"[[20.0, 20.0, 16.0], [1.0, 20.0, 20.0], [1.0, 1.0, 1.0]]",3547,1264,537
"[[2.0, 2.0, 21.0], [2.0, 21.0, 21.0], [21.0, 8.0, 2.0]]",3543,1563,242
"[[5.0, 5.0, 5.0], [5.0, 23.0, 23.0], [5.0, 6.0, 23.0]]",3542,1644,162
"[[4.0, 12.0, 12.0], [3.0, 30.0, 12.0], [3.0, 12.0, 12.0]]",3540,1569,239
"[[1.0, 1.0, 21.0], [21.0, 12.0, 21.0], [21.0, 1.0, 1.0]]",3539,1206,603
"[[1.0, 1.0, 21.0], [21.0, 12.0, 21.0], [21.0, 1.0, 1.0]]",3539,1206,603
"[[1.0, 21.0, 1.0], [12.0, 1.0, 1.0], [21.0, 21.0, 21.0]]",3536,1236,576
"[[20.0, 20.0, 1.0], [1.0, 1.0, 1.0], [20.0, 20.0, 16.0]]",3535,1220,593
"[[21.0, 1.0, 21.0], [1.0, 21.0, 1.0], [12.0, 1.0, 21.0]]",3535,1231,582
"[[21.0, 1.0, 21.0], [1.0, 21.0, 1.0], [12.0, 1.0, 21.0]]",3535,1231,582
"[[0.0, 1.0, 14.0], [21.0, 21.0, 21.0], [21.0, 1.0, 0.0]]",3533,1220,595
"[[20.0, 21.0, 15.0], [20.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",3532,1197,619
"[[21.0, 12.0, 1.0], [1.0, 21.0, 1.0], [21.0, 1.0, 21.0]]",3532,1234,582
"[[4.0, 11.0, 4.0], [22.0, 22.0, 22.0], [0.0, 11.0, 4.0]]",3531,1460,357
"[[1.0, 1.0, 21.0], [0.0, 1.0, 21.0], [21.0, 21.0, 12.0]]",3529,1105,714
"[[0.0, 5.0, 16.0], [0.0, 21.0, 21.0], [16.0, 16.0, 5.0]]",3529,1110,709
"[[0.0, 0.0, 0.0], [0.0, 21.0, 21.0], [21.0, 21.0, 16.0]]",3528,1382,438
"[[18.0, 19.0, 2.0], [1.0, 21.0, 2.0], [18.0, 1.0, 17.0]]",3528,1383,437
"[[2.0, 21.0, 21.0], [2.0, 21.0, 21.0], [2.0, 8.0, 2.0]]",3527,1575,246
"[[0.0, 0.0, 0.0], [0.0, 21.0, 21.0], [16.0, 21.0, 21.0]]",3526,1412,410
"[[0.0, 0.0, 0.0], [0.0, 21.0, 21.0], [16.0, 21.0, 21.0]]",3526,1412,410
"[[0.0, 0.0, 0.0], [0.0, 21.0, 21.0], [16.0, 21.0, 21.0]]",3526,1412,410
"[[0.0, 0.0, 0.0], [21.0, 21.0, 21.0], [21.0, 16.0, 0.0]]",3525,1299,524
"[[2.0, 2.0, 2.0], [21.0, 21.0, 21.0], [21.0, 8.0, 2.0]]",3523,1598,227
"[[2.0, 2.0, 2.0], [2.0, 17.0, 20.0], [20.0, 20.0, 15.0]]",3522,1252,574
"[[5.0, 23.0, 23.0], [5.0, 5.0, 24.0], [5.0, 5.0, 5.0]]",3518,1668,162
